8-82,3-96
13-95,99-99
4-92,5-93
16-80,16-80
23-36,6-10
82-98,24-83
48-48,47-48
58-81,58-80
14-14,13-98
46-66,45-46
38-73,37-72
46-99,47-47
15-59,6-56
13-54,12-53
60-61,60-71
4-97,2-97
6-94,6-94
47-48,38-48
10-95,10-95
84-87,86-86
51-88,70-84
3-52,51-53
21-55,21-21
55-84,31-56
18-18,19-75
63-76,64-77
44-94,93-98
9-62,2-4
29-34,28-33
14-97,15-98
10-56,10-56
3-92,4-93
44-92,45-93
7-73,6-72
12-96,12-12
17-83,82-83
8-94,9-97
1-96,2-96
82-93,4-81
45-62,3-62
91-96,3-81
69-87,68-95
43-67,44-55
2-99,87-97
41-47,40-48
84-99,21-84
9-47,8-46
7-86,31-37
44-95,28-99
1-96,6-94
